"","date","price"
"363",2019-02-09,1079.9486
"364",2019-02-10,1079.9134
"365",2019-02-11,1087.6828
"366",2019-02-12,1100.4027
"367",2019-02-13,1104.9043
"368",2019-02-14,1110.0025
"369",2019-02-15,1117.3106
"370",2019-02-16,1117.2742
"371",2019-02-17,1117.2378
"372",2019-02-18,1112.3005
"373",2019-02-19,1110.9079
"374",2019-02-20,1106.1243
"375",2019-02-21,1102.3486
"376",2019-02-22,1104.1771
"377",2019-02-23,1104.1411
"378",2019-02-24,1104.1051
"379",2019-02-25,1102.6005
"380",2019-02-26,1102.4336
"381",2019-02-27,1102.4688
"382",2019-02-28,1103.1223
"383",2019-03-01,1116.8093
"384",2019-03-02,1116.7729
"385",2019-03-03,1116.7365
"386",2019-03-04,1116.0433
"387",2019-03-05,1111.9495
"388",2019-03-06,1105.9268
"389",2019-03-07,1102.7997
"390",2019-03-08,1114.5153
"391",2019-03-09,1114.4789
"392",2019-03-10,1114.4426
"393",2019-03-11,1128.6424
"394",2019-03-12,1128.9615
"395",2019-03-13,1133.8673
"396",2019-03-14,1140.8637
"397",2019-03-15,1144.5801
"398",2019-03-16,1144.5428
"399",2019-03-17,1144.5055
"400",2019-03-18,1144.4779
"401",2019-03-19,1141.165
"402",2019-03-20,1139.4577
"403",2019-03-21,1149.7951
"404",2019-03-22,1146.1531
"405",2019-03-23,1146.1157
"406",2019-03-24,1146.0783
"407",2019-03-25,1146.1834
"408",2019-03-26,1154.6903
"409",2019-03-27,1156.7102
"410",2019-03-28,1156.693
"411",2019-03-29,1161.5904
"412",2019-03-30,1161.5525
"413",2019-03-31,1161.5147
"414",2019-04-01,1164.4971
"415",2019-04-02,1161.2986
"416",2019-04-03,1158.8342
"417",2019-04-04,1158.9678
"418",2019-04-05,1160.8326
"419",2019-04-06,1160.7948
"420",2019-04-07,1160.757
"421",2019-04-08,1160.0861
"422",2019-04-09,1154.3715
"423",2019-04-10,1158.6199
"424",2019-04-11,1160.2136
"425",2019-04-12,1161.3058
"426",2019-04-13,1161.268
"427",2019-04-14,1161.2301
"428",2019-04-15,1164.0924
"429",2019-04-16,1166.906
"430",2019-04-17,1158.729
"431",2019-04-18,1163.4085
"432",2019-04-19,1163.3706
"433",2019-04-20,1163.3326
"434",2019-04-21,1163.2947
"435",2019-04-22,1166.928
"436",2019-04-23,1184.5677
"437",2019-04-24,1190.0311
"438",2019-04-25,1195.0712
"439",2019-04-26,1196.5413
"440",2019-04-27,1196.5023
"441",2019-04-28,1196.4633
"442",2019-04-29,1204.7113
"443",2019-04-30,1205.5368
"444",2019-05-01,1205.4975
"445",2019-05-02,1202.9287
"446",2019-05-03,1207.674
"447",2019-05-04,1207.6346
"448",2019-05-05,1207.5953
"449",2019-05-06,1207.1982
"450",2019-05-07,1191.4788
"451",2019-05-08,1191.1966
"452",2019-05-09,1190.5121
"453",2019-05-10,1193.7021
"454",2019-05-11,1193.6632
"455",2019-05-12,1193.6243
"456",2019-05-13,1176.1226
"457",2019-05-14,1184.8543
"458",2019-05-15,1192.9456
"459",2019-05-16,1203.1569
"460",2019-05-17,1201.3804
"461",2019-05-18,1201.3413
"462",2019-05-19,1201.3021
"463",2019-05-20,1193.1511
"464",2019-05-21,1193.1122
"465",2019-05-22,1198.5979
"466",2019-05-23,1186.9308
"467",2019-05-24,1183.9272
"468",2019-05-25,1183.8886
"469",2019-05-26,1183.85
"470",2019-05-27,1186.4949
"471",2019-05-28,1188.5303
"472",2019-05-29,1188.146
"473",2019-05-30,1190.3204
"474",2019-05-31,1178.0463
"475",2019-06-01,1178.0079
"476",2019-06-02,1177.9695
"477",2019-06-03,1163.8288
"478",2019-06-04,1176.5481
"479",2019-06-05,1179.6266
"480",2019-06-06,1184.8508
"481",2019-06-07,1196.8984
"482",2019-06-08,1196.8594
"483",2019-06-09,1196.8204
"484",2019-06-10,1211.6083
"485",2019-06-11,1205.3143
"486",2019-06-12,1204.7857
"487",2019-06-13,1212.1132
"488",2019-06-14,1213.778
"489",2019-06-15,1213.7384
"490",2019-06-16,1213.6989
"491",2019-06-17,1212.6063
"492",2019-06-18,1220.879
"493",2019-06-19,1219.8293
"494",2019-06-20,1215.4208
"495",2019-06-21,1214.709
"496",2019-06-22,1214.6694
"497",2019-06-23,1214.6298
"498",2019-06-24,1208.8975
"499",2019-06-25,1190.3119
"500",2019-06-26,1192.4207
"501",2019-06-27,1197.0546
"502",2019-06-28,1201.8087
"503",2019-06-29,1201.7696
"504",2019-06-30,1201.7304
"505",2019-07-01,1209.0123
"506",2019-07-02,1218.927
"507",2019-07-03,1226.038
"508",2019-07-04,1221.2688
"509",2019-07-05,1229.0824
"510",2019-07-06,1229.0423
"511",2019-07-07,1229.0023
"512",2019-07-08,1227.1812
"513",2019-07-09,1234.7436
"514",2019-07-10,1234.8112
"515",2019-07-11,1232.6481
"516",2019-07-12,1234.8244
"517",2019-07-13,1234.7841
"518",2019-07-14,1234.7439
"519",2019-07-15,1232.0602
"520",2019-07-16,1232.0201
"521",2019-07-17,1224.4404
"522",2019-07-18,1231.0791
"523",2019-07-19,1228.3732
"524",2019-07-20,1228.3331
"525",2019-07-21,1228.2931
"526",2019-07-22,1236.179
"527",2019-07-23,1249.7347
"528",2019-07-24,1256.1604
"529",2019-07-25,1254.0604
"530",2019-07-26,1267.0922
"531",2019-07-27,1267.0509
"532",2019-07-28,1267.0096
"533",2019-07-29,1265.2287
"534",2019-07-30,1267.4364
"535",2019-07-31,1255.9714
"536",2019-08-01,1252.8247
"537",2019-08-02,1252.8485
"538",2019-08-03,1252.8076
"539",2019-08-04,1252.7668
"540",2019-08-05,1234.7238
"541",2019-08-06,1242.1536
"542",2019-08-07,1248.1596
"543",2019-08-08,1259.1401
"544",2019-08-09,1251.8466
"545",2019-08-10,1251.8058
"546",2019-08-11,1251.765
"547",2019-08-12,1244.7164
"548",2019-08-13,1249.6637
"549",2019-08-14,1216.6326
"550",2019-08-15,1216.593
"551",2019-08-16,1235.1444
"552",2019-08-17,1235.1041
"553",2019-08-18,1235.0639
"554",2019-08-19,1255.0267
"555",2019-08-20,1243.1664
"556",2019-08-21,1251.5041
"557",2019-08-22,1256.5807
"558",2019-08-23,1229.3582
"559",2019-08-24,1229.3181
"560",2019-08-25,1229.2781
"561",2019-08-26,1246.8164
"562",2019-08-27,1246.678
"563",2019-08-28,1259.0202
"564",2019-08-29,1269.4272
"565",2019-08-30,1267.9453
"566",2019-08-31,1267.904
"567",2019-09-01,1267.8627
"568",2019-09-02,1275.3895
"569",2019-09-03,1268.693
"570",2019-09-04,1278.3092
"571",2019-09-05,1285.2729
"572",2019-09-06,1275.0648
"573",2019-09-07,1275.0232
"574",2019-09-08,1274.9816
"575",2019-09-09,1279.3205
"576",2019-09-10,1281.1859
"577",2019-09-11,1290.593
"578",2019-09-12,1289.1242
"579",2019-09-13,1280.0137
"580",2019-09-14,1279.9719
"581",2019-09-15,1279.9302
"582",2019-09-16,1278.5423
"583",2019-09-17,1291.3842
"584",2019-09-18,1291.3421
"585",2019-09-19,1291.3
"586",2019-09-20,1291.2579
"587",2019-09-21,1291.2158
"588",2019-09-22,1291.1737
"589",2019-09-23,1298.1958
"590",2019-09-24,1284.1449
"591",2019-09-25,1301.2424
"592",2019-09-26,1295.996
"593",2019-09-27,1286.9202
"594",2019-09-28,1287.6878
"595",2019-09-29,1287.6458
"596",2019-09-30,1298.9925
"597",2019-10-01,1286.7908
"598",2019-10-02,1264.5418
"599",2019-10-03,1261.0239
"600",2019-10-04,1270.8146
"601",2019-10-05,1270.7732
"602",2019-10-06,1270.7317
"603",2019-10-07,1268.3377
"604",2019-10-08,1257.1198
"605",2019-10-09,1271.9197
"606",2019-10-10,1274.1496
"607",2019-10-11,1274.2211
"608",2019-10-12,1274.1796
"609",2019-10-13,1274.1381
"610",2019-10-14,1271.5155
"611",2019-10-15,1290.515
"612",2019-10-16,1293.7152
"613",2019-10-17,1287.8099
"614",2019-10-18,1275.32
"615",2019-10-19,1275.2784
"616",2019-10-20,1275.2369
"617",2019-10-21,1308.3206
"618",2019-10-22,1308.0355
"619",2019-10-23,1310.7969
